證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"5234","達興材料","115210","9355100","81.30","81.40","80.70","81.30","0.6000","109"
"5243","乙盛-KY","5356304","208008398","38.50","39.45","38.00","38.75","-0.1000","2933"
"5258","虹堡","60000","1303050","21.70","22.00","21.60","21.65","0.0500","47"
"5264","鎧勝-KY","647075","55985837","86.60","86.60","86.40","86.50","0.0000","287"
"5269","祥碩","1529799","2401282275","1595.00","1630.00","1525.00","1540.00","-20.0000","1718"
"5283","禾聯碩","191202","20380547","106.50","107.00","106.50","107.00","0.5000","165"
"5284","jpp-KY","14000","481250","34.50","34.60","34.25","34.30","-0.2000","13"
"5285","界霖","797200","39245047","49.55","50.00","47.90","48.00","-1.0000","514"
"5288","豐祥-KY","114071","11977455","105.00","105.50","104.50","105.00","0.5000","79"
"5305","敦南","462775","19556836","42.35","42.35","42.25","42.30","0.0500","174"
"5388","中磊","1208845","92825110","76.50","77.60","76.00","76.30","0.2000","823"
"5434","崇越","1310587","159825077","123.50","124.00","121.00","121.50","-2.0000","1001"
"5469","瀚宇博","6426750","280231560","43.90","44.10","43.20","43.40","-0.4500","3223"
"5471","松翰","2823691","184187567","65.10","65.80","64.90","65.10","-0.3000","1847"
"5484","慧友","469661","4976273","10.55","10.65","10.50","10.65","0.1000","41"
"5515","建國","412847","5116597","12.40","12.45","12.30","12.40","0.0500","161"
"5519","隆大","303903","4585732","15.15","15.15","15.05","15.15","0.0500","124"
"5521","工信","6020603","68799755","11.50","11.60","11.35","11.45","-0.1500","1534"
"5522","遠雄","1119997","52628941","46.95","47.25","46.60","47.10","0.1500","701"
"5525","順天","43106","919041","21.35","21.45","21.25","21.40","0.1000","38"
"5531","鄉林","420777","4362387","10.45","10.50","10.30","10.40","-0.0500","168"
"5533","皇鼎","61362","981382","16.00","16.00","15.95","16.00","0.0000","22"
"5534","長虹","329892","26877797","81.20","81.70","81.10","81.70","0.4000","292"
"5538","東明-KY","13000","416900","32.05","32.20","32.05","32.20","0.2000","7"
"5546","永固-KY","455040","36258440","80.00","80.50","79.00","79.70","-0.3000","236"
"5607","遠雄港","621706","18539423","29.70","30.00","29.55","29.75","0.3000","359"
"5608","四維航","1209721","8493023","7.04","7.07","6.96","7.06","0.0400","439"
"5706","鳳凰","1378280","42694617","30.35","31.65","30.30","31.30","1.6500","881"
"5871","中租-KY","3845548","637018500","163.00","167.50","163.00","167.50","4.5000","2522"
"5871A","中租-KY甲特","468491","46576181","99.40","99.70","99.20","99.30","0.0000","376"
"5876","上海商銀","4343229","175691543","40.50","40.60","40.25","40.60","0.1000","1683"
"5880","合庫金","9834191","200736176","20.35","20.50","20.30","20.50","0.0500","4193"
"5906","台南-KY","19311","698273","36.90","36.90","36.00","36.40","0.2000","16"
"5907","大洋-KY","93141","2029071","22.00","22.00","21.65","21.85","-0.0500","61"
"6005","群益證","3218258","36939919","11.55","11.55","11.45","11.50","0.0500","932"
"6024","群益期","91960","3464287","37.70","37.70","37.60","37.70","0.0500","91"
"6108","競國","282085","5743116","20.40","20.50","20.30","20.35","0.0000","186"
"6112","聚碩","336964","13473111","40.30","40.30","39.75","39.85","-0.4000","229"
"6115","鎰勝","175329","7250437","41.35","41.50","41.30","41.40","-0.0500","140"
"6116","彩晶","26375778","245285950","9.40","9.44","9.22","9.30","-0.0800","5368"
"6117","迎廣","4000","67400","17.00","17.00","16.75","16.75","0.1500","4"
"6120","達運","943995","10913457","11.70","11.75","11.45","11.55","-0.1500","389"
"6128","上福","273802","7463307","27.50","27.55","27.15","27.50","-0.0500","65"
"6131","鈞泰","797480","3654989","4.34","5.30","4.34","5.30","0.4800","177"
"6133","金橋","90124","732806","8.13","8.18","8.10","8.15","-0.0500","33"
"6136","富爾特","91002","1568484","17.30","17.30","17.20","17.25","-0.0500","69"
"6139","亞翔","230237","6204192","27.10","27.15","26.85","27.00","0.1000","164"
"6141","柏承","7310795","227268041","31.45","31.85","29.95","30.30","-1.4000","3680"
"6142","友勁","218201","1667820","7.61","7.68","7.61","7.63","-0.0700","80"
"6152","百一","1333873","14741929","11.10","11.30","10.90","11.10","-0.1000","468"
"6153","嘉聯益","78769804","2838269552","35.90","36.75","35.10","36.00","0.1000","32947"
"6155","鈞寶","2526843","62073926","24.40","24.80","24.30","24.50","0.5000","1391"
"6164","華興","661699","4751571","7.16","7.34","7.08","7.21","0.0300","79"
"6165","捷泰","2527233","142468273","60.00","60.20","55.00","55.30","-4.4000","1958"
"6166","凌華","56613","3721921","66.00","66.00","65.30","65.80","-0.2000","55"
"6168","宏齊","775707","10984690","14.00","14.30","14.00","14.25","0.3000","338"
"6172","互億","35704","1008632","28.35","28.35","28.15","28.15","-0.2500","11"
"6176","瑞儀","1925938","211218802","110.50","110.50","109.00","109.00","-0.5000","1434"
"6177","達麗","388334","11262205","29.15","29.15","28.90","28.95","-0.1000","276"
"6183","關貿","238106","11126355","46.50","46.95","46.40","46.90","0.2500","65"
"6184","大豐電","85530","3668839","43.00","43.10","42.75","42.90","0.0000","83"
"6189","豐藝","327180","11453076","35.20","35.20","34.95","34.95","-0.1000","213"
"6191","精成科","32482716","767847929","24.05","24.10","23.35","23.45","-0.5000","11478"
"6192","巨路","140396","9410701","67.50","67.50","66.70","67.10","0.1000","106"
"6196","帆宣","2420848","269943834","113.00","114.00","110.00","110.00","-2.5000","1868"
"6197","佳必琪","319222","10742623","33.90","34.20","33.50","33.60","-0.1000","226"
"6201","亞弘電","56001","1980134","35.55","35.60","35.00","35.50","0.0000","39"
"6202","盛群","1783437","126251236","71.30","71.40","70.00","70.90","-0.2000","1328"
"6205","詮欣","252000","9297000","37.00","37.05","36.50","36.80","-0.2000","147"
"6206","飛捷","147229","9096017","62.00","62.00","61.50","62.00","0.5000","123"
"6209","今國光","914158","29186991","32.00","32.50","31.55","31.65","-0.2000","495"
"6213","聯茂","5082818","705972135","139.00","140.50","137.50","138.50","1.0000","3464"
"6214","精誠","228832","19024980","83.00","83.50","83.00","83.00","0.1000","225"
"6215","和椿","257400","4116769","16.00","16.20","15.80","15.90","-0.0500","133"
"6216","居易","77709","1956546","25.15","25.25","25.10","25.25","0.0000","58"
"6224","聚鼎","357433","32069454","90.00","91.20","89.10","89.10","-1.1000","297"
"6225","天瀚","11613","38611","3.69","3.69","3.21","3.55","0.1500","12"
"6226","光鼎","503259","4031304","8.08","8.10","7.95","8.05","-0.0400","244"
"6230","超眾","145161","34694549","241.00","241.50","238.00","238.00","-0.5000","138"
"6235","華孚","809017","13238445","16.50","16.60","16.20","16.25","-0.2000","339"
"6239","力成","4488228","410244749","92.00","92.50","90.80","90.90","-0.8000","2795"
"6243","迅杰","277339","3203038","11.70","11.70","11.40","11.50","-0.1500","150"
"6251","定穎","3946467","70846870","17.85","18.05","17.80","17.90","0.1500","1616"
"6257","矽格","4292637","177777929","41.50","41.75","41.15","41.40","0.1000","2321"
"6269","台郡","3026431","354339660","118.00","119.00","116.00","117.00","-0.5000","1999"
"6271","同欣電","9002184","1279439369","142.00","143.50","141.00","141.00","1.5000","5221"
"6277","宏正","260173","22106257","85.30","85.30","84.70","85.00","-0.3000","213"
"6278","台表科","5027498","586364596","117.00","119.00","115.00","115.50","-1.0000","3193"
"6281","全國電","102726","7317966","70.90","71.50","70.90","71.40","0.7000","91"
"6282","康舒","5307825","140140193","26.50","26.65","26.25","26.30","-0.2000","2498"
"6283","淳安","1173695","40127427","33.90","34.80","33.80","34.15","0.4500","749"
"6285","啟碁","4348750","351869240","81.40","81.70","80.20","80.20","-0.6000","2896"
"6288","聯嘉","17347251","608517583","34.00","35.90","33.90","35.40","1.8500","8075"
"6289","華上","62700","236014","3.77","3.77","3.70","3.77","0.0900","36"
"6405","悅城","135000","2581400","19.50","19.55","18.85","19.00","-0.3000","96"
"6409","旭隼","55157","51936899","951.00","960.00","935.00","935.00","-19.0000","100"
"6412","群電","267268","17844130","67.20","67.30","66.40","66.60","-0.7000","226"
"6414","樺漢","757709","176669557","237.00","237.50","231.50","232.50","-4.0000","675"
"6415","矽力-KY","454055","1023976165","2295.00","2360.00","2170.00","2180.00","-110.0000","651"
"6416","瑞祺電通","350228","45020212","128.00","130.00","127.50","128.00","0.5000","320"
"6431","光麗-KY","44000","1283000","29.60","29.60","28.95","29.10","-0.7000","36"
"6442","光聖","16000","463350","29.00","29.10","28.90","28.90","-0.3000","15"
"6443","元晶","25887226","860907582","31.30","34.50","30.55","33.60","2.0000","13634"
